estimator	min_score	mean_score	max_score	std_score	cls__criterion	cls__max_depth	cls__max_features	tfidf__use_idf	vect__ngram_range	cls__C	cls__loss	cls__alpha	cls__kernel	cls__n_estimators
RandomForestClassifier	0.9385499999999999	0.9524199999999998	0.9651	0.009578862145369873	gini		auto	True	(1, 1)					150
RandomForestClassifier	0.9307500000000001	0.9523800000000001	0.9633499999999999	0.010212056599921478	entropy		auto	True	(1, 2)					150
RandomForestClassifier	0.9412	0.9523699999999999	0.9591500000000001	0.005553971551961718	entropy		log2	True	(1, 2)					100
RandomForestClassifier	0.9376	0.9523699999999999	0.9702	0.010364945730682808	gini		log2	False	(1, 1)					100
RandomForestClassifier	0.9349999999999999	0.9523550000000001	0.96585	0.009728397863985633	entropy		auto	True	(1, 2)					80
RandomForestClassifier	0.9319999999999999	0.9523400000000001	0.9702	0.011222628925523646	entropy		sqrt	False	(1, 2)					80
RandomForestClassifier	0.9329000000000001	0.952225	0.9651	0.009518436058512951	entropy		sqrt	True	(1, 1)					100
RandomForestClassifier	0.9387000000000001	0.95222	0.96345	0.007513228334078493	gini		10	True	(1, 2)					80
RandomForestClassifier	0.9278500000000001	0.9521999999999998	0.9684	0.012535350015057406	entropy		auto	False	(1, 2)					100
RandomForestClassifier	0.9371000000000002	0.9521899999999999	0.9624499999999999	0.008963364323734664	entropy		sqrt	False	(1, 1)					100
SVC	0.941	0.9521799999999999	0.9625	0.006192220926291333				True	(1, 2)	1.0			poly	
RandomForestClassifier	0.93575	0.9521649999999999	0.9642000000000001	0.010315402318862832	entropy		sqrt	True	(1, 2)					100
RandomForestClassifier	0.93375	0.9521600000000001	0.96765	0.011538669767351887	entropy		auto	False	(1, 1)					100
RandomForestClassifier	0.93645	0.9521	0.9681	0.010675228334794512	entropy		auto	False	(1, 1)					80
RandomForestClassifier	0.93845	0.9520900000000001	0.96465	0.009943887569758631	gini		log2	True	(1, 2)					80
RandomForestClassifier	0.93325	0.95206	0.9665	0.010780881225577046	gini		sqrt	True	(1, 2)					150
RandomForestClassifier	0.9393499999999999	0.9520200000000001	0.96565	0.00722330256877005	gini		log2	True	(1, 2)					100
SVC	0.9413	0.9520199999999999	0.9604	0.006468508328818945				True	(1, 2)	10.0			poly	
SVC	0.9413	0.9520199999999999	0.9604	0.006468508328818945				True	(1, 2)	100.0			poly	
SVC	0.9412	0.952	0.9603999999999999	0.006510913914344115				True	(1, 2)	2.0			poly	
RandomForestClassifier	0.93765	0.9519949999999999	0.9677500000000001	0.008741437238806918	gini		log2	True	(1, 1)					80
RandomForestClassifier	0.9360000000000002	0.95192	0.9636	0.008691553370945819	entropy		log2	False	(1, 2)					40
RandomForestClassifier	0.9289000000000001	0.95192	0.9675	0.011470313857955222	gini		sqrt	False	(1, 2)					80
SVC	0.9390000000000001	0.95191	0.9637	0.006594308151732062				True	(1, 2)	0.8			poly	
SVC	0.9359999999999999	0.9518799999999998	0.9672999999999999	0.011318109382754706				False	(1, 2)	0.7			poly	
RandomForestClassifier	0.9369999999999999	0.9518449999999999	0.96315	0.007853102889941031	entropy		log2	False	(1, 1)					40
RandomForestClassifier	0.93775	0.95184	0.9704499999999999	0.009888068567723422	entropy		10	False	(1, 2)					40
RandomForestClassifier	0.93945	0.9517650000000002	0.9623999999999999	0.007759383029597132	gini		log2	False	(1, 2)					80
RandomForestClassifier	0.93445	0.9517449999999998	0.9679	0.011113582905616	entropy		sqrt	False	(1, 1)					80
RandomForestClassifier	0.93805	0.951725	0.9680500000000001	0.010311140819521366	entropy		sqrt	True	(1, 1)					80
RandomForestClassifier	0.93935	0.9517050000000001	0.9637	0.008054950341249804	entropy		log2	False	(1, 1)					80
SVC	0.9390999999999999	0.9517	0.9631000000000001	0.006627971031922246				True	(1, 2)	0.7			poly	
RandomForestClassifier	0.93425	0.9516749999999998	0.9624499999999999	0.008300368967702558	gini		auto	True	(1, 1)					40
RandomForestClassifier	0.9366	0.9516500000000001	0.9643999999999999	0.00987165133095771	entropy		sqrt	True	(1, 1)					150
RandomForestClassifier	0.9377	0.95157	0.9669	0.010190907712269793	gini		sqrt	True	(1, 2)					100
RandomForestClassifier	0.9338000000000001	0.951545	0.9655	0.011522184037759516	entropy		auto	True	(1, 2)					100
RandomForestClassifier	0.9355	0.9512500000000002	0.9677999999999999	0.011264346408025596	gini		auto	True	(1, 2)					100
RandomForestClassifier	0.9315500000000001	0.951225	0.96715	0.012062218908641972	entropy		auto	True	(1, 1)					80
RandomForestClassifier	0.93245	0.95116	0.9630500000000001	0.009801576403824052	gini		log2	False	(1, 2)					40
RandomForestClassifier	0.93605	0.951145	0.97055	0.011420276923087277	gini		sqrt	True	(1, 1)					80
RandomForestClassifier	0.9373499999999999	0.9510149999999999	0.96655	0.010532878286584361	entropy		log2	True	(1, 1)					80
RandomForestClassifier	0.9341	0.950985	0.9700000000000001	0.012512055186898772	entropy		auto	True	(1, 2)					40
RandomForestClassifier	0.9342000000000001	0.9509500000000001	0.96585	0.010008546347996765	gini		auto	True	(1, 2)					80
RandomForestClassifier	0.9314	0.95095	0.9726999999999999	0.010731682067597777	gini		log2	False	(1, 1)					40
SVC	0.9313	0.95091	0.9678	0.011757163773631804				False	(1, 1)	0.5			poly	
RandomForestClassifier	0.93245	0.9507200000000001	0.9684999999999999	0.01198551625921886	gini		sqrt	False	(1, 1)					80
RandomForestClassifier	0.9368	0.950695	0.9698	0.010272011730912318	gini		10	True	(1, 1)					80
RandomForestClassifier	0.9314499999999999	0.9506349999999999	0.9635499999999999	0.010169932398988722	gini		sqrt	False	(1, 1)					40
RandomForestClassifier	0.9316	0.9505950000000001	0.9626	0.010822972096425267	entropy		sqrt	True	(1, 2)					80
SVC	0.9258	0.95056	0.9652999999999999	0.013734132662822236				False	(1, 2)	0.5			sigmoid	
RandomForestClassifier	0.9295	0.9505399999999999	0.96825	0.012022266841157704	gini		auto	False	(1, 2)					40
SVC	0.9248999999999999	0.95045	0.9671	0.014182189534765062				True	(1, 1)	0.5			rbf	
RandomForestClassifier	0.93275	0.950445	0.9675	0.011069314567758944	gini		auto	False	(1, 1)					80
MultinomialNB	0.9347	0.9504399999999998	0.9595	0.006861661606345784				True	(1, 2)			0.01		
SVC	0.9388	0.95035	0.9636	0.007207808266040378				True	(1, 2)	0.5			poly	
SVC	0.9326000000000001	0.95016	0.9634999999999999	0.009792364372305549				True	(1, 1)	10.0			poly	
SVC	0.9326000000000001	0.95016	0.9634999999999999	0.009792364372305549				True	(1, 1)	100.0			poly	
SVC	0.9238999999999999	0.95014	0.9672	0.013729836124295151				True	(1, 1)	0.8			linear	
LinearSVC	0.9238999999999999	0.95013	0.9672	0.013757183578043881				True	(1, 1)	0.8	hinge			
LinearSVC	0.9304	0.9500400000000001	0.965	0.011789673447555708				True	(1, 1)	0.5	squared_hinge			
RandomForestClassifier	0.9369999999999999	0.9499299999999999	0.963	0.008020261841112167	gini		sqrt	True	(1, 1)					40
SVC	0.9325000000000001	0.9499299999999999	0.9632999999999999	0.00966561431053397				True	(1, 1)	2.0			poly	
RandomForestClassifier	0.9282999999999999	0.949905	0.9652	0.012350535413495243	entropy		auto	False	(1, 2)					40
SVC	0.926	0.94976	0.9689	0.014365667405310473				False	(1, 2)	0.5			rbf	
SVC	0.922	0.9497399999999999	0.9673999999999999	0.014595629482828065				True	(1, 1)	0.7			linear	
SVC	0.9225	0.9497300000000001	0.9695	0.015337147713965594				False	(1, 1)	0.5			rbf	
LinearSVC	0.9221000000000001	0.94973	0.9672999999999999	0.014551429483043903				True	(1, 1)	0.7	hinge			
SVC	0.9301999999999999	0.9497099999999999	0.9622	0.009629169226885573				True	(1, 1)	0.8			poly	
RandomForestClassifier	0.92815	0.9496499999999999	0.96615	0.012525933098975085	entropy		sqrt	False	(1, 1)					40
MultinomialNB	0.9359999999999999	0.9495899999999999	0.9575	0.006345462946074154				False	(1, 2)			0.001		
SVC	0.9244	0.9495700000000001	0.966	0.012982761647661866				True	(1, 1)	1.0			linear	
LinearSVC	0.9244	0.94956	0.966	0.012991320179258142				True	(1, 1)	1.0	hinge			
RandomForestClassifier	0.9220499999999999	0.949495	0.9693499999999999	0.01334661848559403	entropy		sqrt	False	(1, 2)					40
RandomForestClassifier	0.9279000000000001	0.9494750000000002	0.96725	0.011864742938639681	gini		sqrt	False	(1, 2)					40
SVC	0.93	0.94947	0.9628	0.009610936478824527				True	(1, 1)	1.0			poly	
SVC	0.9286000000000001	0.94931	0.9621999999999999	0.010048726287445568				True	(1, 1)	0.7			poly	
RandomForestClassifier	0.9358000000000001	0.94923	0.9643999999999999	0.00911924338966778	gini		10	True	(1, 2)					40
RandomForestClassifier	0.9301	0.9492200000000001	0.9662499999999999	0.010795049791455317	gini		sqrt	True	(1, 2)					80
LinearSVC	0.9292999999999999	0.9492099999999999	0.9645	0.011821205522280751				True	(1, 1)	0.7	squared_hinge			
LinearSVC	0.9273	0.94899	0.9638	0.012800113280748742				True	(1, 1)	0.2	squared_hinge			
LinearSVC	0.9297	0.9488599999999998	0.9617	0.011726312293300052				False	(1, 1)	0.5	squared_hinge			
RandomForestClassifier	0.9353	0.94879	0.96935	0.00991109983806036	entropy		auto	False	(1, 1)					40
LinearSVC	0.9299999999999999	0.94879	0.963	0.011620107572651823				True	(1, 1)	0.8	squared_hinge			
LinearSVC	0.9302999999999999	0.9487499999999999	0.9622999999999999	0.011533277938209952				False	(1, 1)	0.7	squared_hinge			
LinearSVC	0.9296	0.9485199999999999	0.9623	0.011592566583807041				False	(1, 1)	0.8	squared_hinge			
SVC	0.9306	0.9484299999999999	0.9652999999999999	0.012120070131810295				False	(1, 2)	0.5			poly	
RandomForestClassifier	0.92535	0.948345	0.9641	0.012951533692964685	gini		10	False	(1, 2)					40
LinearSVC	0.9199999999999999	0.94834	0.9667	0.015787792752630123				True	(1, 1)	0.5	hinge			
SVC	0.9199999999999999	0.9483	0.9667	0.015793606301285346				True	(1, 1)	0.5			linear	
RandomForestClassifier	0.92625	0.9482250000000001	0.96905	0.011364577642833856	gini		10	False	(1, 1)					40
RandomForestClassifier	0.9234000000000001	0.9480949999999998	0.9603499999999999	0.012276429651979419	gini		sqrt	True	(1, 2)					40
LinearSVC	0.9282	0.9479599999999999	0.9610000000000001	0.011404490343719898				False	(1, 1)	1.0	squared_hinge			
RandomForestClassifier	0.92785	0.94795	0.9619	0.011489147052762449	gini		log2	True	(1, 1)					40
LinearSVC	0.9268000000000001	0.9479200000000001	0.964	0.012391916720184963				False	(1, 1)	1.0	hinge			
SVC	0.9268000000000001	0.94788	0.9639	0.012337649695140469				False	(1, 1)	1.0			linear	
LinearSVC	0.9292	0.9478500000000001	0.9624	0.011505151020303916				True	(1, 1)	1.0	squared_hinge			
RandomForestClassifier	0.93135	0.94779	0.9641	0.008516478145336834	entropy		log2	True	(1, 2)					40
RandomForestClassifier	0.9308000000000001	0.9476600000000002	0.9628	0.008863148424798035	entropy		sqrt	True	(1, 1)					40
